2021 super output area - lower layer,Total: All households,Owned,Shared ownership,Social rented,Private rented,Lives rent free,Owns with a mortgage or loan or shared ownership,Private rented or lives rent free
E01014601 : Bristol 001A,746,474,5,187,77,3,247,80
E01014602 : Bristol 001B,827,353,6,373,95,0,196,95
E01014603 : Bristol 001C,1068,604,27,195,242,0,371,242
E01014605 : Bristol 001E,835,237,1,473,120,4,137,124
E01032516 : Bristol 001G,859,578,7,139,132,3,252,135
E01032517 : Bristol 001H,725,356,0,248,115,6,199,121
E01014688 : Bristol 002A,655,247,4,247,150,7,139,157
E01014689 : Bristol 002B,606,144,2,386,70,4,85,74
E01014690 : Bristol 002C,786,374,10,257,143,2,250,145
E01014691 : Bristol 002D,835,454,12,259,107,3,214,110
E01014692 : Bristol 002E,623,267,6,193,155,2,163,157
E01014693 : Bristol 002F,644,509,6,8,118,3,238,121
E01014694 : Bristol 002G,662,357,0,191,106,8,183,114
E01014497 : Bristol 003A,685,333,0,268,83,1,209,84
E01014498 : Bristol 003B,658,334,1,271,49,3,180,52
E01014638 : Bristol 003C,791,245,4,435,101,6,121,107
E01014639 : Bristol 003D,615,146,2,415,44,8,72,52
E01014640 : Bristol 003E,607,315,1,225,62,4,178,66
E01014631 : Bristol 004A,531,308,2,108,109,4,144,113
E01014632 : Bristol 004B,871,447,5,135,282,2,248,284
E01014633 : Bristol 004C,734,490,2,78,163,1,259,164
E01014636 : Bristol 004D,635,285,3,262,84,1,138,85
E01014630 : Bristol 005A,873,218,21,399,235,0,142,235
E01014634 : Bristol 005B,718,382,1,19,315,1,204,316
E01014659 : Bristol 005C,867,244,21,353,246,3,168,249
E01014661 : Bristol 005D,605,326,3,161,112,3,178,115
E01014616 : Bristol 006A,685,494,6,56,128,1,191,129
E01014719 : Bristol 006B,642,451,4,34,151,2,225,153
E01014720 : Bristol 006C,749,475,3,171,99,1,247,100
E01014721 : Bristol 006D,667,514,3,83,67,0,220,67
E01014641 : Bristol 007A,641,476,2,107,53,3,228,56
E01014642 : Bristol 007B,632,435,0,126,69,2,215,71
E01014643 : Bristol 007C,580,285,4,253,36,2,135,38
E01014644 : Bristol 007D,640,397,5,180,52,6,216,58
E01014492 : Bristol 008A,783,368,2,303,106,4,179,110
E01014493 : Bristol 008B,649,369,5,158,116,1,211,117
E01014494 : Bristol 008C,652,521,1,40,90,0,248,90
E01014495 : Bristol 008D,755,490,7,129,126,3,252,129
E01014496 : Bristol 008E,805,409,0,88,306,2,246,308
E01014499 : Bristol 008F,615,375,1,152,85,2,212,87
E01014715 : Bristol 009A,620,537,1,25,57,0,240,57
E01014716 : Bristol 009B,612,553,0,8,50,1,247,51
E01014717 : Bristol 009C,630,471,11,102,46,0,199,46
E01014718 : Bristol 009D,642,523,0,14,105,0,234,105
E01014510 : Bristol 010A,766,532,5,8,221,0,332,221
E01014635 : Bristol 010B,781,480,14,41,246,0,256,246
E01014637 : Bristol 010C,568,355,3,17,193,0,188,193
E01014662 : Bristol 010D,622,371,1,89,158,3,224,161
E01014615 : Bristol 011A,603,542,2,11,48,0,222,48
E01014617 : Bristol 011B,525,475,2,7,41,0,212,41
E01014618 : Bristol 011C,670,612,0,5,53,0,241,53
E01014620 : Bristol 011D,648,567,0,19,62,0,235,62
E01014571 : Bristol 012A,643,336,1,195,110,1,147,111
E01014577 : Bristol 012B,654,478,4,6,166,0,213,166
E01014586 : Bristol 012C,702,472,1,125,100,4,183,104
E01014587 : Bristol 012D,613,328,2,159,121,3,171,124
E01014588 : Bristol 013A,942,537,15,134,256,0,297,256
E01014589 : Bristol 013B,640,191,5,375,62,7,125,69
E01014590 : Bristol 013C,920,516,16,136,251,1,302,252
E01014591 : Bristol 013D,804,617,2,35,149,1,273,150
E01014592 : Bristol 013E,709,401,10,105,192,1,230,193
E01014660 : Bristol 014A,865,391,16,314,139,5,257,144
E01014663 : Bristol 014B,605,277,4,236,85,3,151,88
E01014664 : Bristol 014C,646,372,0,145,124,5,209,129
E01014665 : Bristol 014D,782,572,1,24,185,0,298,185
E01014709 : Bristol 015A,596,464,1,13,118,0,191,118
E01014710 : Bristol 015B,539,397,1,8,133,0,169,133
E01014711 : Bristol 015C,532,482,1,14,35,0,199,35
E01014712 : Bristol 015D,508,386,2,76,44,0,178,44
E01014713 : Bristol 015E,577,496,4,17,59,1,189,60
E01014714 : Bristol 015F,535,473,1,11,50,0,190,50
E01014507 : Bristol 016A,714,459,1,24,230,0,272,230
E01014508 : Bristol 016B,666,395,3,25,243,0,231,243
E01014509 : Bristol 016C,1030,644,3,50,333,0,431,333
E01014511 : Bristol 016D,524,395,2,14,113,0,216,113
E01014512 : Bristol 016E,618,426,11,56,125,0,209,125
E01014513 : Bristol 016F,621,516,0,8,97,0,271,97
E01014514 : Bristol 016G,848,512,4,14,318,0,272,318
E01014619 : Bristol 017A,584,428,0,12,144,0,191,144
E01014621 : Bristol 017B,594,390,1,71,131,1,216,132
E01014666 : Bristol 017C,670,539,2,38,91,0,289,91
E01014667 : Bristol 017D,635,450,1,5,179,0,248,179
E01014672 : Bristol 017E,960,490,1,56,413,0,219,413
E01014624 : Bristol 018A,652,408,2,146,95,1,233,96
E01014629 : Bristol 018D,552,308,1,155,83,5,181,88
E01032518 : Bristol 018E,778,327,3,337,108,3,196,111
E01032519 : Bristol 018F,530,390,1,32,107,0,195,107
E01014572 : Bristol 019A,850,411,8,46,379,6,260,385
E01014573 : Bristol 019B,839,522,7,25,283,2,275,285
E01014575 : Bristol 019C,659,334,2,119,202,2,178,204
E01014576 : Bristol 019D,904,627,8,106,162,1,361,163
E01014487 : Bristol 020A,760,358,3,30,369,0,191,369
E01014491 : Bristol 020B,777,513,1,23,240,0,291,240
E01014668 : Bristol 020C,620,418,1,12,189,0,223,189
E01014669 : Bristol 020D,666,353,5,16,292,0,196,292
E01014670 : Bristol 020E,587,332,1,14,239,1,178,240
E01014671 : Bristol 020F,697,334,2,65,295,1,194,296
E01014622 : Bristol 021A,657,422,2,53,180,0,234,180
E01014623 : Bristol 021B,674,436,7,92,138,1,262,139
E01014626 : Bristol 021C,1110,579,16,263,251,1,388,252
E01014627 : Bristol 021D,930,577,24,59,270,0,343,270
E01014557 : Bristol 022A,611,319,3,35,254,0,169,254
E01014558 : Bristol 022B,748,194,3,55,496,0,115,496
E01014559 : Bristol 022C,791,408,6,38,339,0,194,339
E01014560 : Bristol 022D,740,291,0,42,406,1,142,407
