2011 super output area - lower layer,All households,Owned,Shared ownership (part owned and part rented),Social rented,Private rented,Living rent free
E01014601 : Bristol 001A,687,456,1,167,54,9
E01014602 : Bristol 001B,825,345,1,398,66,15
E01014603 : Bristol 001C,960,579,23,202,144,12
E01014605 : Bristol 001E,810,209,1,487,88,25
E01032516 : Bristol 001G,830,596,3,125,88,18
E01032517 : Bristol 001H,694,352,2,229,89,22
E01014688 : Bristol 002A,644,255,1,289,96,3
E01014689 : Bristol 002B,637,143,2,411,58,23
E01014690 : Bristol 002C,792,397,14,281,86,14
E01014691 : Bristol 002D,853,465,16,286,73,13
E01014692 : Bristol 002E,606,274,6,212,104,10
E01014693 : Bristol 002F,651,514,9,15,104,9
E01014694 : Bristol 002G,667,371,0,168,111,17
E01014497 : Bristol 003A,670,328,1,278,48,15
E01014498 : Bristol 003B,658,304,0,305,44,5
E01014638 : Bristol 003C,788,222,3,482,62,19
E01014639 : Bristol 003D,625,142,0,442,36,5
E01014640 : Bristol 003E,590,306,2,238,37,7
E01014631 : Bristol 004A,520,323,7,116,61,13
E01014632 : Bristol 004B,618,376,1,94,144,3
E01014633 : Bristol 004C,663,462,2,91,103,5
E01014636 : Bristol 004D,635,260,5,295,60,15
E01014630 : Bristol 005A,885,233,44,420,178,10
E01014634 : Bristol 005B,694,369,1,31,290,3
E01014659 : Bristol 005C,880,305,26,348,190,11
E01014661 : Bristol 005D,600,310,5,187,89,9
E01014616 : Bristol 006A,684,495,3,52,118,16
E01014719 : Bristol 006B,628,438,4,37,138,11
E01014720 : Bristol 006C,777,488,2,185,93,9
E01014721 : Bristol 006D,647,499,3,87,49,9
E01014641 : Bristol 007A,625,461,1,110,46,7
E01014642 : Bristol 007B,608,386,3,137,69,13
E01014643 : Bristol 007C,547,257,2,243,39,6
E01014644 : Bristol 007D,613,378,2,179,47,7
E01014492 : Bristol 008A,741,355,4,299,71,12
E01014493 : Bristol 008B,609,356,6,164,73,10
E01014494 : Bristol 008C,623,498,0,41,75,9
E01014495 : Bristol 008D,733,485,6,138,96,8
E01014496 : Bristol 008E,680,409,1,95,169,6
E01014499 : Bristol 008F,609,372,1,153,74,9
E01014715 : Bristol 009A,616,555,0,15,38,8
E01014716 : Bristol 009B,614,568,1,5,38,2
E01014717 : Bristol 009C,637,464,6,130,28,9
E01014718 : Bristol 009D,637,544,2,7,80,4
E01014510 : Bristol 010A,740,478,10,27,224,1
E01014635 : Bristol 010B,769,470,16,43,233,7
E01014637 : Bristol 010C,530,342,1,13,165,9
E01014662 : Bristol 010D,631,373,5,89,159,5
E01014615 : Bristol 011A,609,566,0,6,37,0
E01014617 : Bristol 011B,522,483,0,4,34,1
E01014618 : Bristol 011C,624,580,0,2,36,6
E01014620 : Bristol 011D,634,571,0,12,45,6
E01014571 : Bristol 012A,663,354,2,193,103,11
E01014577 : Bristol 012B,640,489,4,17,121,9
E01014586 : Bristol 012C,719,473,2,132,85,27
E01014587 : Bristol 012D,608,353,2,162,77,14
E01014588 : Bristol 013A,747,434,4,149,154,6
E01014589 : Bristol 013B,630,177,2,381,48,22
E01014590 : Bristol 013C,728,400,6,106,201,15
E01014591 : Bristol 013D,800,638,2,43,114,3
E01014592 : Bristol 013E,694,436,10,104,136,8
E01014660 : Bristol 014A,667,261,5,290,93,18
E01014663 : Bristol 014B,616,271,4,252,70,19
E01014664 : Bristol 014C,664,360,2,174,112,16
E01014665 : Bristol 014D,779,569,1,42,157,10
E01014709 : Bristol 015A,596,481,0,5,101,9
E01014710 : Bristol 015B,529,400,0,12,103,14
E01014711 : Bristol 015C,527,478,0,8,37,4
E01014712 : Bristol 015D,500,369,0,75,50,6
E01014713 : Bristol 015E,565,484,1,8,69,3
E01014714 : Bristol 015F,524,466,0,2,44,12
E01014507 : Bristol 016A,673,422,4,23,219,5
E01014508 : Bristol 016B,510,328,1,22,156,3
E01014509 : Bristol 016C,855,546,4,29,272,4
E01014511 : Bristol 016D,517,386,0,7,121,3
E01014512 : Bristol 016E,587,410,8,51,114,4
E01014513 : Bristol 016F,619,523,0,7,86,3
E01014514 : Bristol 016G,817,489,5,18,298,7
E01014619 : Bristol 017A,602,426,0,25,146,5
E01014621 : Bristol 017B,581,383,2,76,115,5
E01014666 : Bristol 017C,660,507,2,48,96,7
E01014667 : Bristol 017D,625,439,1,10,169,6
E01014672 : Bristol 017E,962,503,0,57,389,13
E01014624 : Bristol 018A,667,402,1,150,99,15
E01014629 : Bristol 018D,544,297,2,157,79,9
E01032518 : Bristol 018E,737,325,0,319,76,17
E01032519 : Bristol 018F,500,370,0,35,92,3
E01014572 : Bristol 019A,796,396,11,53,327,9
E01014573 : Bristol 019B,803,514,6,26,251,6
E01014575 : Bristol 019C,656,348,5,130,159,14
E01014576 : Bristol 019D,833,544,7,99,168,15
E01014487 : Bristol 020A,819,338,1,38,437,5
E01014491 : Bristol 020B,764,478,2,26,245,13
E01014668 : Bristol 020C,620,407,0,7,203,3
E01014669 : Bristol 020D,621,332,1,19,266,3
E01014670 : Bristol 020E,596,339,1,13,236,7
E01014671 : Bristol 020F,663,288,0,67,304,4
E01014622 : Bristol 021A,625,427,4,42,147,5
E01014623 : Bristol 021B,642,412,2,93,126,9
E01014626 : Bristol 021C,913,468,7,223,202,13
E01014627 : Bristol 021D,903,588,31,57,211,16
E01014557 : Bristol 022A,589,305,3,24,253,4
