2011 super output area - lower layer,All categories: Religion,Has religion,Christian,Buddhist,Hindu,Jewish,Muslim,Sikh,Other religion,No religion,Religion not stated
E01024657 : Thanet 001A,2276,1241,1122,10,25,1,61,6,16,749,286
E01024658 : Thanet 001B,2072,1360,1300,3,1,2,38,2,14,537,175
E01024659 : Thanet 001C,1527,995,945,7,9,5,24,0,5,408,124
E01024660 : Thanet 001D,1760,1129,1031,10,18,5,50,2,13,485,146
E01024678 : Thanet 001E,1918,1098,1046,5,8,4,32,1,2,683,137
E01024653 : Thanet 002A,1601,1204,1143,2,0,5,32,3,19,309,88
E01024654 : Thanet 002B,1519,1107,1077,2,6,3,13,0,6,296,116
E01024655 : Thanet 002C,1475,1026,1000,2,3,7,11,0,3,341,108
E01024656 : Thanet 002D,1673,1263,1190,15,12,12,21,0,13,288,122
E01024675 : Thanet 002E,2147,1573,1515,8,8,8,27,0,7,426,148
E01024676 : Thanet 003A,1667,944,888,4,10,4,28,0,10,596,127
E01024677 : Thanet 003B,1798,1053,1001,9,5,1,27,1,9,625,120
E01024695 : Thanet 003C,1302,772,748,1,5,0,14,0,4,429,101
E01024697 : Thanet 003D,1276,729,704,6,4,3,10,0,2,441,106
E01024710 : Thanet 003E,1131,640,594,6,9,2,17,3,9,402,89
E01024661 : Thanet 004A,1510,852,809,3,0,0,31,0,9,557,101
E01024664 : Thanet 004B,1482,878,829,9,10,0,19,0,11,498,106
E01024665 : Thanet 004C,1516,973,955,2,3,1,11,0,1,429,114
E01024694 : Thanet 004D,1779,1181,1087,7,33,0,49,0,5,488,110
E01024696 : Thanet 004E,1411,914,895,4,0,1,4,0,10,400,97
E01024672 : Thanet 005A,1451,918,901,2,4,0,6,1,4,447,86
E01024673 : Thanet 005B,1792,1200,1174,5,2,4,7,0,8,481,111
E01024674 : Thanet 005C,1606,1077,1063,9,1,1,3,0,0,430,99
E01024711 : Thanet 005D,1441,1025,993,2,2,4,19,0,5,325,91
E01024712 : Thanet 005E,1554,1096,1054,1,1,4,30,0,6,352,106
E01024633 : Thanet 006A,1545,947,915,6,7,3,10,1,5,477,121
E01024634 : Thanet 006B,1403,809,771,7,9,0,13,0,9,495,99
E01024662 : Thanet 006C,1579,970,921,2,11,7,18,2,9,474,135
E01024663 : Thanet 006D,1587,744,685,2,9,2,30,1,15,721,122
E01024666 : Thanet 006E,1655,964,914,3,12,1,22,0,12,571,120
E01024641 : Thanet 007A,1457,1025,995,3,4,10,11,0,2,304,128
E01024713 : Thanet 007B,1663,997,971,3,1,1,9,0,12,554,112
E01024714 : Thanet 007C,1512,987,954,5,4,3,10,0,11,350,175
E01024715 : Thanet 007D,1803,1169,1118,4,9,8,9,1,20,498,136
E01024716 : Thanet 007E,2018,1394,1363,2,9,4,9,0,7,494,130
E01024636 : Thanet 008A,2028,1518,1478,14,2,9,6,0,9,371,139
E01024637 : Thanet 008B,1672,1247,1223,8,2,3,1,0,10,299,126
E01024638 : Thanet 008C,1587,1209,1180,1,6,8,4,5,5,297,81
E01024639 : Thanet 008D,1624,1166,1121,5,5,7,12,6,10,342,116
E01024640 : Thanet 008E,1593,1165,1134,3,3,6,7,6,6,316,112
E01024635 : Thanet 009A,1676,1086,1044,11,17,6,3,1,4,458,132
E01024642 : Thanet 009B,1503,1062,1038,2,4,0,5,5,8,315,126
E01024644 : Thanet 009C,1331,942,917,5,5,5,6,0,4,292,97
E01024692 : Thanet 009D,1642,1032,1015,1,2,2,1,0,11,458,152
E01024693 : Thanet 009E,1372,921,885,7,2,6,4,3,14,351,100
E01024643 : Thanet 010A,1233,775,723,11,4,0,28,0,9,358,100
E01024705 : Thanet 010B,1271,779,717,9,12,12,21,1,7,384,108
E01024706 : Thanet 010C,1523,983,930,13,9,2,18,1,10,391,149
E01024707 : Thanet 010D,1361,873,837,6,9,6,6,0,9,384,104
E01024708 : Thanet 010E,1532,1107,1059,4,10,3,21,2,8,322,103
E01024686 : Thanet 011A,1633,1015,991,3,8,2,9,0,2,497,121
E01024688 : Thanet 011B,1566,1091,1059,8,7,1,11,0,5,362,113
E01024689 : Thanet 011C,1253,857,820,9,16,1,9,0,2,310,86
E01024690 : Thanet 011D,1503,1096,1065,7,5,2,5,5,7,302,105
E01024691 : Thanet 011E,1272,862,830,1,19,2,8,0,2,324,86
E01024669 : Thanet 012A,1684,934,898,10,10,1,5,0,10,624,126
E01024698 : Thanet 012B,1466,933,895,8,7,2,12,0,9,438,95
E01024699 : Thanet 012C,1853,1025,987,4,6,1,9,6,12,697,131
E01024700 : Thanet 012D,1804,1178,1135,9,5,3,16,0,10,515,111
E01024709 : Thanet 012E,1336,961,936,2,8,2,7,1,5,276,99
E01024682 : Thanet 013A,1723,888,852,12,4,1,13,0,6,718,117
E01024683 : Thanet 013B,1720,935,915,3,6,0,11,0,0,678,107
E01024684 : Thanet 013C,1601,929,894,4,9,7,12,0,3,560,112
E01024685 : Thanet 013D,1866,1145,1119,4,1,0,12,0,9,597,124
E01024687 : Thanet 013E,1445,804,793,1,5,0,5,0,0,535,106
E01024701 : Thanet 014A,1995,1406,1386,2,0,3,2,2,11,450,139
E01024702 : Thanet 014B,1339,932,902,4,5,8,5,0,8,313,94
E01024703 : Thanet 014C,1736,1264,1245,7,2,2,2,3,3,354,118
E01024704 : Thanet 014D,1668,1168,1142,3,4,5,4,2,8,394,106
E01024645 : Thanet 015A,1516,916,898,6,1,1,7,0,3,496,104
E01024647 : Thanet 015B,1579,881,837,6,12,2,13,0,11,565,133
E01024668 : Thanet 015C,1392,796,729,20,39,0,5,0,3,501,95
E01024670 : Thanet 015D,1575,857,815,3,1,1,24,0,13,611,107
E01024681 : Thanet 015E,1727,944,906,5,9,5,8,1,10,687,96
E01024646 : Thanet 016A,1900,1028,963,15,8,6,19,1,16,717,155
E01024648 : Thanet 016B,1519,839,796,7,7,2,13,0,14,541,139
